Type of Abuse,Category
Sexual Harassment,Sexual Violence Against a Child
Miscellaneous,Miscellaneous
Juvenile Delinquency,Miscellaneous
Domestic Violence,Psychological Violence Against a Child
CYPO 77 - Preventing Children from Receiving Education,Neglect of a Child
CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,Sexual Violence Against a Child
CYPO 20 - Prohibition of Publication of Certain Matters,Miscellaneous
CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,Miscellaneous
Cruelty to Children,Physical Violence Against a Child
Compulsory Education,Neglect of a Child
Children and Young Person Ordinance-Neglect of Children,Neglect of a Child
Child Labor,Child Labor and Economic Exploitation
365C - Publication of Sexual Abuse,Sexual Violence Against a Child
365B - Grave Sexual Abuse,Sexual Violence Against a Child
365A - Gross Indecency,Sexual Violence Against a Child
365 - Unnatural Offence,Sexual Violence Against a Child
364A - Incest,Sexual Violence Against a Child
363 - Rape,Sexual Violence Against a Child
360E - Soliciting a Child,Sexual Violence Against a Child
360D - Offences Related to Adoption,Sexual Violence Against a Child
360C - Trafficking,Sexual Violence Against a Child
360B - Sexual Exploitation of Children,Sexual Violence Against a Child
360A - Procreation,Sexual Violence Against a Child
"358A - Serfdom, Slavery, Child Soldiers",Other Specific Acts That Could Result in Harm to the Child
356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,Other Specific Acts That Could Result in Harm to the Child
353 - Abduction,Other Specific Acts That Could Result in Harm to the Child
352 - Kidnapping from Lawful Guardianship,Other Specific Acts That Could Result in Harm to the Child
351 - Kidnapping from Sri Lanka,Other Specific Acts That Could Result in Harm to the Child
345 - Sexual Harassment,Sexual Violence Against a Child
311 - Grievous Hurt,Physical Violence Against a Child
310 - Cause Hurt,Physical Violence Against a Child
308A - Cruelty to Children,Physical Violence Against a Child
308 - Exposure and Abandonment,Physical Violence Against a Child
288B - Trafficking Restricted Articles/Drugs,Other Specific Acts That Could Result in Harm to the Child
288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,Other Specific Acts That Could Result in Harm to the Child
288 - Procuring to Beg,Other Specific Acts That Could Result in Harm to the Child
286C - Duty to Inform of Use of Premises for Child Abuse,Other Specific Acts That Could Result in Harm to the Child
286A - Obscene Publications,Other Specific Acts That Could Result in Harm to the Child
76 - CYPO: Sale of Tobacco to Person Under 16 Years,Other Specific Acts That Could Result in Harm to the Child
"71 - CYPO: Neglect of Children, Cruelty",Neglect of a Child
35 - CYPO: Child or Young Person in Need of Care & Protection,Neglect of a Child
27A - ACO: Unlawful Custody,Psychological Violence Against a Child
14 - ACO: Restriction on Payment,Psychological Violence Against a Child
