Type of abuse,No of complaints
Miscellaneous,2580.0
Cruelty to Children,2237.0
Compulsory Education,643.0
Sexual Harassment,518.0
Children and Young Person Ordinance-Neglect of Children,466.0
Grave sexual abuse,373.0
Juvenile Delinquency,270.0
Rape,256.0
Child Labour,228.0
Procuring to beg,200.0
Kidnapping from lawful guardianship,97.0
Trafficking,82.0
Abduction,71.0
Domestic Violence,50.0
Trafficking Restricted Articles,44.0
Obscene publication,39.0
Soliciting a child,7.0
Incest,2.0
Unnatural Offence,2.0
Total,8165.0
