No,District,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,Ampara,20,17,22,11,21,22,16,13,18,29,23,25,237
2,Anuradapura,34,47,59,32,50,53,44,46,31,46,39,40,521
3,Badulla,16,21,28,16,23,18,22,18,24,19,23,18,246
4,Baticoloa,12,15,15,12,14,24,12,12,9,21,15,17,178
5,Colombo,112,100,143,75,111,112,97,78,86,98,87,75,1174
6,Galle,42,29,54,30,50,38,62,42,32,52,55,55,541
7,Gampaha,74,73,92,54,96,90,79,68,61,74,76,70,907
8,Hambanthota,24,30,40,16,36,34,43,31,32,30,40,37,18
9,Jaffna,10,13,6,7,18,14,13,5,10,14,18,10,138
10,Kaluthara,48,32,70,28,51,51,36,54,39,48,56,35,548
11,Kandy,39,24,53,33,37,38,36,28,30,28,43,35,424
1122,KKaaggaallllee,2233,3322,2299,1155,2244,1133,2255,1177,2255,2277,3322,3311,229933
13,Kilinochchi,2,3,6,4,4,8,4,3,3,7,6,2,52
14,Kurunagala,47,56,96,47,74,76,69,52,78,52,61,52,760
15,Mannar,1,3,8,4,4,2,4,6,2,6,4,6,50
16,Matale,15,14,25,10,16,16,16,16,15,17,18,15,193
17,Matara,39,15,25,17,28,28,34,23,27,24,27,28,315
18,Monaragala,12,23,37,20,24,18,33,33,28,29,14,20,291
19,Mulathivu,6,5,8,3,7,9,6,7,8,8,8,7,82
20,NuwaraEliya,9,12,23,10,15,24,20,16,14,10,18,13,184
21,Polonnaruwa,17,18,28,26,33,28,25,22,29,12,22,23,283
22,Puttalama,34,30,34,30,43,28,48,30,32,34,29,24,396
23,Rathnapura,43,44,67,50,51,57,50,53,37,48,53,45,598
24,Trncomali,13,13,6,13,11,8,15,7,10,4,16,17,133
25,Vavuniya,6,6,6,6,12,3,3,2,3,4,7,7,65
26,Unknown,63,28,46,25,45,48,26,28,20,26,20,59,434
Total,,761,703,1026,594,898,860,838,710,703,767,810,766,9436
